FinalWgt,CR1,CR2,CR3,CR4,CR5,SAR6,SAR7,SAR8,SAR9,CR10,CR11,SAR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,SAR20,SAR21,SAR22,SAR23,SAR24,SAR25,CR26,CR27,CR28,CR29,SAR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,SAR38,CR39,CR40,CR41,CR42,SAR43,CR44,SAR45,CR46,SAR47,SAR48,CR49,CR50,CR51,CR52,CR53,CR54,CR55,SAR56,SAR58,SAR59,SAR60,SAR61,SAR62,SAR63,SAR64,SAR65,SAR66,SAR67,SAR68,SAR69,SAR70,SAR71,SAR72,SAR73,SAR74,SAR75,SAR76,SAR77,SAR78,SAR79,SAR80,SAR81,SAR82,SAR83,SAR84,SAR85,Stratum,PSU
250.58411,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,2,4,1,7,7,3,4,1,1,1,1,1,1,1,1,1,3,1,2,2,2,3,3,4,2,1,1,1,2,3,1,1,3,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,2,4,4,4,2,7,3,1,4,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,5,2,1,3,1,5,3,1,1,3,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,4,1,2,1,2,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,1,7,7,2,4,1,1,1,1,1,1,1,1,1,,2,2,2,2,1,2,3,1,3,3,1,1,4,1,1,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,1,2,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,4,2,2,2,2,4,1,7,7,1,4,1,1,1,3,3,1,7,3,2,2,4,4,2,4,1,1,3,2,3,1,1,3,7,1,1,3,2,2,2,1,1,3,2,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,3,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,4,1,1,1,4,2,2,4,2,4,1,7,7,1,4,1,1,1,3,3,1,7,3,2,2,4,4,2,4,3,3,5,2,1,1,1,3,4,1,1,3,2,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,3,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,4,4,2,2,4,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,2,4,2,4,3,3,4,2,3,2,2,1,4,1,1,3,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,4,1,1,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,3,4,3,1,,1,1,,2,2,2,2,3,5,3,2,2,1,4,3,3,2,1,5,,3,3,,5,,,4,,2,1,2,3,5,,4,2,2,2,2,3,,3,2,,,2,1,2,2,4,2,3,,3,2,1,2,3,4,3,2,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,3,2,2,2,4,4,4,4,2,7,7,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,3,2,1,3,1,3,3,1,1,3,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,1,2,1,4,1,2,2,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,2,3,1,4,4,4,2,2,4,4,1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,4,2,2,2,1,1,1,2,1,1,1,6,3,1,1,3,2,2,2,1,1,1,3,2,1,5,2,2,1,1,1,1,1,4,2,2,1,4,5,1,2,2,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,3,1,1,3,2,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,4,4,2,4,4,4,4,1,7,7,2,4,1,1,1,1,1,1,1,1,1,1,3,2,2,4,1,4,3,2,3,2,1,2,3,1,1,3,2,2,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,2,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,5,1,2,1,1,3,1,1,1,1,1,4,4,2,2,4,2,4,2,7,7,1,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,2,1,3,3,2,4,1,1,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,1,2,1,1,1,1,1,200701001,1
250.58411,2,1,1,1,1,1,1,1,6,1,2,1,1,1,2,1,2,1,3,4,2,2,2,2,2,4,2,7,7,2,4,1,2,2,1,1,1,1,1,1,2,3,2,2,3,2,1,5,2,1,1,1,2,3,1,1,3,1,1,3,1,1,3,2,2,1,3,1,1,1,1,1,1,3,3,1,1,1,4,1,1,2,2,1,200701001,1
250.58411,2,1,1,1,1,1,1,2,3,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,2,4,3,1,1,1,2,1,2,1,1,1,1,1,1,1,3,2,2,2,5,2,4,5,1,1,2,1,2,2,1,1,3,1,1,2,1,1,1,1,2,1,2,2,2,1,3,1,1,1,1,2,1,1,4,,1,3,2,3,200701001,1
250.58411,,,,2,2,7,6,3,6,2,1,7,3,1,3,1,4,2,4,2,1,2,1,1,4,3,1,2,3,3,4,1,2,2,3,3,2,3,3,2,2,3,2,2,3,2,2,2,2,1,1,3,2,3,1,1,2,2,2,2,2,3,1,2,2,,1,2,3,,1,1,3,1,3,2,1,1,2,2,1,1,2,1,200701001,1
250.58411,,,,,1,1,1,1,4,1,2,1,1,5,1,2,1,1,1,2,1,2,4,1,4,3,,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200701001,1
250.58411,,,,,2,3,2,3,3,2,2,,2,1,1,2,1,1,2,2,1,2,4,2,1,1,1,1,1,1,1,1,1,1,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200701001,1
252.9557333,1,,1,1,1,1,2,2,2,3,1,1,1,,4,2,3,4,1,,,,,,4,4,4,6,5,4,4,,4,,3,2,1,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6,1,,,1,3,4,1,,,,2,2,4,2,3,2,3,1,1,,1,4,,1,3,2,2,4,200701001,1
257.6748236,1,1,1,1,1,1,6,2,,,1,8,1,1,3,1,1,2,2,2,2,1,2,1,1,4,2,3,6,1,4,1,1,1,1,1,3,7,2,1,3,3,2,2,2,1,1,3,2,2,2,,6,2,,5,2,1,2,3,1,1,1,1,2,1,7,3,3,6,1,2,1,1,3,2,2,3,4,1,2,1,1,2,200701001,1
257.9542309,1,4,,,1,4,1,1,4,,2,1,1,1,3,1,2,1,,3,,1,2,1,2,1,,1,1,1,2,1,4,1,2,1,3,2,3,,3,1,2,1,3,1,3,2,2,,,3,,5,,1,1,3,,1,3,1,1,1,1,1,2,1,,2,,2,1,,2,,1,1,2,1,1,,2,2,200701001,1
257.9542309,1,,2,2,8,7,2,2,4,1,2,2,2,1,2,1,3,2,1,2,2,2,3,1,4,4,2,7,7,5,4,1,2,2,3,1,3,7,4,2,2,3,2,1,,3,3,3,,2,2,3,4,1,,4,1,3,1,1,2,1,2,1,,2,,1,1,4,2,2,1,3,2,2,1,1,2,1,3,,2,1,200701001,1
257.9542309,2,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,2,3,4,4,4,4,4,4,4,2,7,7,1,3,1,2,1,1,1,1,1,1,1,2,,,2,,,,,,,1,,4,4,1,1,,,,,8,,,,,2,1,7,3,3,1,2,2,2,,,,1,1,1,2,2,2,3,200701001,1
257.9542309,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,3,3,2,2,2,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,3,4,2,1,,2,3,,1,1,2,2,2,1,1,1,1,1,1,,2,,2,,3,4,,,1,1,1,2,2,2,2,2,2,1,200701001,1
257.9542309,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,3,1,2,4,4,2,2,2,1,4,1,2,2,2,4,1,1,1,1,1,1,1,1,1,2,1,3,2,4,2,1,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,,1,2,3,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,200701001,1
270.1086961,1,5,4,4,5,7,2,2,3,1,1,5,3,1,3,1,2,2,2,1,2,2,1,1,2,4,4,3,2,2,4,4,5,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,,3,2,3,2,2,2,2,2,2,1,1,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,1,200701001,1
273.0315852,1,5,2,3,1,1,2,2,2,1,1,7,1,1,3,1,1,1,3,4,4,2,4,4,3,4,1,7,7,1,4,5,5,1,4,1,1,1,1,1,2,4,2,2,4,3,3,4,2,3,2,1,5,3,,1,3,3,2,2,1,1,1,2,2,1,2,1,2,1,1,5,2,,4,2,2,3,3,2,2,3,1,2,200701001,1
273.0315852,1,,,1,,3,1,,,1,2,2,2,,,,3,2,,,,,2,1,,1,1,,3,1,3,2,1,1,1,2,1,,2,1,2,3,2,2,1,2,1,2,1,1,2,1,1,2,,2,2,2,2,3,8,,,,2,2,3,8,4,3,4,3,2,1,1,2,,3,1,3,2,1,2,2,200701001,1
273.0315852,1,1,2,5,1,2,4,3,4,3,1,8,3,1,4,1,2,4,3,1,1,1,1,1,2,4,2,7,6,,,4,3,,1,,1,5,,1,,4,4,,,,,,,,,1,1,1,,2,,,,2,3,3,3,2,,,3,3,4,4,4,1,1,2,,,,2,2,2,,2,,,200701001,1
273.0315852,1,4,1,1,1,3,1,2,2,1,1,7,1,1,2,2,1,1,4,1,1,1,2,2,2,4,3,1,7,2,3,1,5,1,1,3,3,2,2,3,2,3,2,1,3,2,3,1,2,2,1,1,1,2,,3,2,3,1,2,1,2,3,2,1,1,2,1,1,1,3,2,1,2,1,,2,3,2,2,1,1,1,2,200701001,1
273.0315852,1,6,1,1,1,4,1,1,7,1,1,,1,1,2,1,2,3,3,4,4,1,1,2,2,4,1,7,4,2,1,5,5,2,4,4,2,2,3,6,3,4,2,1,2,1,1,2,1,1,2,1,2,5,,6,1,1,1,1,6,2,1,3,1,1,2,8,6,8,2,2,2,2,2,2,2,2,1,8,3,3,2,2,200701001,1
273.0315852,2,1,1,1,1,1,2,2,7,1,1,,1,1,2,1,2,2,3,4,4,1,1,2,2,4,1,7,7,1,4,1,1,2,4,4,2,2,3,6,3,4,2,1,2,1,1,2,1,1,2,1,3,5,,6,1,1,1,2,6,2,1,3,2,1,2,8,6,8,1,2,2,2,2,2,2,2,1,8,3,3,2,2,200701001,1
278.0530695,1,1,1,1,1,8,1,1,3,1,2,1,1,1,2,1,1,1,1,1,1,4,2,2,1,1,3,1,3,1,1,2,3,,1,,2,,1,1,,1,2,,1,1,2,1,1,3,,,,,1,3,3,1,3,3,3,1,1,2,2,2,1,1,1,1,1,1,1,,1,2,2,1,2,1,1,2,1,1,200701001,1
278.0530695,1,2,1,1,1,1,1,1,3,1,2,3,1,1,1,1,3,1,1,4,4,2,2,4,4,4,2,7,7,1,4,1,4,1,1,1,1,1,1,1,3,2,2,2,5,1,3,5,2,1,1,1,5,5,1,3,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,1,2,4,2,1,1,1,4,2,1,2,1,200701001,1
278.0530695,1,3,1,1,1,1,1,1,3,1,1,7,2,3,1,1,1,1,4,4,4,2,2,2,2,4,1,7,7,5,4,5,4,1,2,1,7,3,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,5,1,3,3,1,1,2,1,1,3,3,1,2,3,1,1,1,3,1,1,3,1,1,1,1,4,1,1,1,1,1,200701001,1
278.0530695,1,3,1,1,1,1,1,1,3,1,2,1,1,1,1,1,3,3,2,1,1,2,2,2,2,4,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,3,,2,1,1,1,2,1,3,1,2,1,1,1,1,2,1,1,1,2,1,2,3,1,1,2,1,3,2,1,2,1,1,3,1,1,1,200701001,1
278.0530695,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,2,2,1,4,2,7,7,1,4,1,3,1,2,2,7,3,2,3,2,3,2,2,2,1,1,4,1,1,1,1,5,6,1,3,3,1,2,2,3,1,1,1,2,1,6,5,3,7,1,4,3,3,4,2,1,3,4,7,1,1,1,1,200701001,1
278.0530695,1,4,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,2,3,1,4,4,2,4,4,4,2,7,2,1,3,2,3,1,1,1,1,7,1,5,2,2,2,2,3,1,1,3,1,1,1,2,3,6,1,3,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,1,2,2,1,1,200701001,1
278.0530695,1,5,1,1,1,1,2,1,4,1,2,8,2,3,1,1,1,1,2,3,2,2,2,2,1,4,1,7,7,1,4,1,2,1,2,1,7,7,2,6,1,2,2,2,3,3,3,4,2,1,1,1,2,6,1,3,2,1,1,2,5,4,1,3,2,2,1,1,1,1,3,5,2,1,1,1,1,3,4,7,2,1,1,1,200701001,1
278.0530695,1,5,1,1,1,1,6,1,3,1,2,7,2,1,2,1,1,1,2,1,4,2,4,4,4,4,2,3,3,2,4,1,3,1,2,3,5,3,2,4,3,2,2,1,3,2,3,2,1,1,1,2,2,6,1,3,2,2,2,1,5,4,1,2,1,,2,,1,5,3,3,2,2,4,,2,1,1,1,1,2,2,2,200701001,1
278.0530695,1,5,3,3,7,3,2,2,7,1,1,8,2,1,3,1,2,2,3,3,1,1,1,1,2,4,2,7,4,3,4,5,3,1,2,4,2,8,3,6,1,2,2,2,4,2,3,4,2,1,,1,4,7,1,3,2,2,1,1,3,3,2,3,1,1,5,1,1,6,5,6,2,1,4,1,1,2,3,3,2,1,2,1,200701001,1
278.0530695,1,6,4,4,2,7,3,3,4,3,2,7,3,3,4,1,2,2,3,3,4,1,2,4,2,3,2,3,7,3,3,2,2,1,3,3,5,8,3,5,1,2,2,1,3,3,1,3,2,3,1,1,2,7,1,3,2,2,2,2,5,2,1,1,2,1,5,1,2,4,1,7,3,1,2,1,1,2,4,8,2,2,1,2,200701001,1
278.0530695,1,6,5,3,2,4,6,3,5,3,2,6,3,1,3,1,1,1,2,2,2,1,2,2,2,4,2,3,2,2,4,1,3,2,3,3,3,3,2,5,3,2,2,2,1,3,4,5,2,1,1,3,4,5,1,3,2,2,1,2,1,3,1,2,2,1,4,2,2,3,2,6,3,,1,,2,2,4,2,1,1,1,1,200701001,1
278.0530695,1,6,7,7,2,4,7,5,4,3,1,8,3,1,4,1,4,4,2,3,4,1,,2,2,4,4,7,3,1,4,1,1,1,4,3,2,3,3,6,3,2,1,1,3,1,4,,1,2,1,1,,,,3,2,1,1,1,3,1,1,1,1,1,7,1,1,2,,3,3,,2,,,1,2,1,1,,,2,200701001,1
278.0530695,1,7,2,2,2,7,3,3,3,2,2,7,2,1,1,2,2,1,1,2,2,2,2,2,2,3,2,1,1,1,4,1,5,2,3,1,3,3,3,5,1,2,2,1,2,1,2,3,2,2,1,3,3,7,1,3,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,4,3,3,1,2,1,2,4,2,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,,1,1,3,1,2,1,1,3,1,1,1,1,1,2,2,2,4,2,4,4,1,2,3,1,4,1,1,1,1,1,1,1,1,1,3,1,3,2,2,2,2,2,2,1,1,1,2,5,1,3,3,1,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,1,1,2,3,1,3,1,2,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,2,7,7,2,3,1,1,1,1,1,1,7,1,5,2,1,2,2,4,3,3,4,2,1,2,3,6,5,1,3,3,3,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,4,2,1,1,4,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,4,1,7,7,2,4,2,1,1,1,1,1,1,1,1,3,3,2,2,4,1,1,2,2,1,2,1,6,5,1,3,3,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,2,4,,2,2,2,1,4,2,2,3,5,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,2,1,1,1,4,5,1,3,3,3,1,2,1,1,1,3,1,2,1,1,1,1,3,1,1,3,1,1,1,1,2,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,3,2,3,2,2,4,4,1,1,2,1,4,1,1,1,1,1,1,1,1,1,3,3,3,2,4,3,2,5,2,3,2,2,4,5,1,3,3,1,2,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,4,1,2,1,1,3,1,1,1,,1,1,1,4,4,2,2,4,2,3,3,1,4,5,5,1,1,1,1,1,1,1,2,2,2,2,2,3,1,2,2,1,1,1,2,6,1,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,3,4,1,1,1,4,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,4,1,2,1,1,3,1,1,1,1,2,4,4,4,4,4,4,4,2,7,7,2,4,5,1,1,1,1,1,1,1,1,3,2,2,2,2,3,4,2,1,1,1,1,5,6,1,3,3,3,3,2,1,1,3,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,2,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,4,1,2,1,1,3,1,2,1,1,2,4,4,2,2,2,1,4,1,2,2,2,4,4,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,1,1,1,2,5,1,3,3,2,1,2,1,1,3,3,2,1,2,1,1,1,2,1,1,3,4,1,1,1,4,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,5,1,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,3,1,2,4,3,4,4,2,1,1,1,5,5,1,3,3,2,2,2,1,1,,,2,2,1,1,1,1,1,1,1,,,2,1,1,4,1,1,1,2,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,2,1,1,2,4,4,2,2,2,1,4,1,7,2,1,4,2,1,1,1,1,1,1,1,1,3,1,2,2,5,3,3,4,2,3,2,2,1,6,1,3,3,1,1,2,1,1,3,3,2,2,2,1,1,1,1,1,1,3,1,2,2,1,2,1,2,1,2,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,6,1,2,1,1,1,2,2,1,2,1,2,4,4,4,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,3,2,1,1,3,3,6,1,3,3,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,4,2,2,1,2,1,1,1,1,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,1,4,4,1,4,4,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,3,4,1,2,1,3,3,1,2,1,1,1,5,5,1,3,3,2,2,3,1,1,3,3,1,1,2,2,2,1,2,1,3,1,3,2,2,1,4,1,1,1,2,1,200701001,1
278.0530695,2,1,1,1,1,1,1,1,7,1,2,1,1,1,2,1,1,2,3,1,4,1,4,4,4,4,2,7,2,2,4,1,1,1,1,1,1,1,1,1,3,2,2,2,4,3,4,4,2,2,2,2,1,5,1,3,3,2,1,2,1,1,3,2,2,1,,1,1,1,1,1,1,1,2,2,2,1,4,1,2,,2,1,200701001,1
278.0530695,2,1,1,1,1,1,6,2,5,1,2,1,2,1,1,1,2,2,2,2,4,2,2,2,1,4,1,3,3,2,4,1,1,1,1,1,1,7,1,5,1,2,2,2,2,3,2,4,2,1,2,1,5,5,1,3,3,2,1,2,1,1,1,2,2,1,5,2,2,6,1,1,1,2,2,1,2,1,4,1,2,1,1,2,200701001,1
278.1252065,1,2,1,1,,2,1,3,2,1,2,2,1,2,2,1,,,1,,,1,,4,1,,,1,3,4,1,4,,1,2,2,1,2,3,,,1,1,,,,,,1,,,1,4,,1,2,1,2,,1,,,,,,1,1,1,1,3,1,1,2,3,1,1,,1,3,1,1,,1,1,200701001,1
278.1252065,1,5,1,1,1,1,1,1,4,1,2,2,2,1,3,1,2,2,1,2,2,1,3,2,1,1,1,2,3,3,1,1,3,1,1,1,2,4,3,1,2,1,2,1,1,1,1,2,1,2,2,2,1,5,1,2,2,2,1,2,8,3,1,2,1,1,2,8,6,3,1,2,3,1,1,2,2,4,1,3,3,2,,,200701001,1
